Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Mymensingh,September,3,81.1286934536641,28.941424634535082,84.47167406305472,29.81266072666569,160.58208448341563,5.34890391460243,Brinjal(Robi)
Chittagonj,October,1,72.7311361271974,28.218755734039412,82.6446001586012,45.91056000817388,202.11515910249,6.7446411193412175,Brinjal(Robi)
Chittagonj,October,1,74.16813395700136,28.38526179620528,82.33120250304289,44.500698232427986,200.19216551231892,6.6996752344408765,Brinjal(Robi)
Dhaka,October,1,44.45683856908886,28.727918216120536,80.57860220258218,40.16244280594391,194.14589669406416,4.161436648884255,Brinjal(Robi)
Barisal,November,1,9.46418450131536,24.763214933814194,77.11288733138758,49.83571576457336,231.9787414124642,2.574581660755953,Brinjal(Robi)
Rajshahi,November,1,5.75088936803154,27.111798823287867,78.41666465284538,52.58730529099869,146.0111344221048,3.7608913138827713,Brinjal(Robi)
Khulna,December,1,1.682759422389992,21.391907734506493,71.52013601160066,51.646612254957454,197.54823473301815,4.02449270420901,Corn(Robi)
Bogra,October,2,25.98614904665523,27.42610600743281,78.52124532718491,54.09438432316857,199.18375441780975,4.982398911800737,Corn(Robi)
Dhaka,October,3,26.28684895744263,26.865781231454932,75.70804510305224,53.9128455373327,183.59522121425087,3.9847407373608585,Corn(Robi)
Cumilla,November,1,17.122083715352037,25.487884217799603,76.62900360739141,50.54043460777795,182.32254367991013,3.6984801437782178,Corn(Robi)
Rangamati,October,2,38.31997924940915,27.581139042868088,80.65249969473665,48.964492080119264,202.51252511141476,3.613415449964521,Corn(Robi)
Khulna,December,1,0.6764164795949285,21.15996820496005,71.3328214382675,51.91918142022357,196.7901896034963,4.030067083615774,Corn(Robi)
Mymensingh,December,1,0.9323691443344151,20.95587808659825,73.03239802485302,49.20952673966052,191.33161789141616,2.977475843649345,Corn(Robi)
Chittagonj,December,1,-0.12050688656558961,23.019762707712086,71.99855597516576,54.75748840027141,204.95273054195806,5.0631262807065465,Corn(Robi)
Dinajpur,November,2,1.089563205475968,22.77271479239594,73.80061696236169,51.617318258873084,155.87335452316623,3.6307530960491152,Corn(Robi)
Sylhet,December,1,1.1747309117080884,21.316289127837344,72.73164378646808,55.455072820778895,181.32161927465475,4.1566921653368025,Corn(Robi)
Jashore,September,1,52.83832127834498,29.665824285773006,84.05992506279196,30.809781796523943,175.51109347391053,4.1065245751660076,Corn(Robi)
Cumilla,November,1,20.868779121093574,25.449476247925855,76.48735585414599,50.10261897628005,183.08359934656906,3.7192202465500466,Corn(Robi)
Rangamati,October,2,36.74704995182914,27.85304919367393,80.53002682260534,48.10627676552709,206.01511134368167,3.735998075847823,Corn(Robi)
Sylhet,December,1,0.372980726778373,21.315916929867573,72.97037446643579,55.63734376524264,177.42902203332227,4.219097977993101,Corn(Robi)
Barisal,December,1,-0.4269804375533963,21.576494382514202,74.25631811175727,49.582914537666966,226.05803860593824,3.070935801934745,Corn(Robi)
Dinajpur,November,2,-0.39927872069140335,22.883910685185686,73.67502939198138,51.91566766172636,150.13471468608833,3.778256488921272,Corn(Robi)
Barisal,December,1,2.509994770333025,21.788717959928533,74.24825024024774,47.978026836241256,222.68615410511595,3.174518796587079,Corn(Robi)
Faridpur,December,1,1.7348197793254678,21.513118572444153,73.02633308775609,47.567372518871466,199.0998453224434,2.7613933809719575,Corn(Robi)
Rajshahi,November,2,-1.0501670872228133,23.81631678154866,72.68143815533199,54.627843669408314,152.55336672415206,3.5784855984716324,Corn(Robi)
Rangamati,October,2,40.205477440153295,27.561859199875826,80.85877379580793,48.387710252691626,201.64962655922793,3.8936037771234795,Corn(Robi)
Cumilla,November,1,14.987441572031445,26.51187425489381,76.84981047374406,48.63617053522275,182.80644818343671,3.64150661885926,Corn(Robi)
Rajshahi,November,2,1.118678649413221,23.66391557178341,72.46436156107009,53.95427962840789,147.0849768360849,3.5980924230687985,Corn(Robi)
Jashore,September,1,53.30955079213131,29.625115540535003,83.30238133385441,30.5544914504512,182.28460811159638,4.149348487216606,Corn(Robi)
Dhaka,October,3,26.934445689654638,26.644005490591717,75.20345978476247,55.666465304020925,189.68036987164768,3.8195971867831155,Corn(Robi)
Khulna,December,1,3.1597848284472394,21.307807419175397,70.73770987607543,52.20205515219117,194.1778940117441,4.097838385975181,Corn(Robi)
Mymensingh,December,1,-2.6354744133313477,21.21000171717605,74.25097722844355,48.28160900342575,186.4739618768642,3.0462059572014457,Corn(Robi)
Bogra,October,2,26.47785900068763,27.722396402189183,78.67361102811893,53.16459586276279,198.82723111268132,5.054114461139812,Corn(Robi)
Sylhet,December,1,1.2897122894216553,21.010129924574024,72.20421851400772,56.388459502791406,177.56674238583076,4.15478730384471,Corn(Robi)
Rangpur,October,2,34.56993984502925,27.105309133941983,80.89271273118324,50.57991661558697,138.9990575821301,6.110198082231798,Corn(Robi)
Rangpur,October,2,38.34624898520588,27.016416071043906,80.37671540879978,51.826154267813244,130.823800526969,6.328289924137721,Corn(Robi)
Khulna,December,1,3.4227545370170205,21.585543043503378,70.69295815664496,52.52976521379323,197.38991141634094,4.020257627122698,Corn(Robi)
Dhaka,October,3,25.598902605073775,27.471773699156454,75.39437667818551,54.60116880045054,189.80908972644292,3.7033895103673347,Corn(Robi)
Rangamati,October,2,39.770316091088695,27.91185698582929,80.77941799202594,48.389013433998834,204.43996639460403,3.692375469422087,Corn(Robi)
Barisal,December,1,2.8534940791873815,21.923321221189475,74.68519119563544,48.62669121656267,228.60511325731807,3.118304441588964,Corn(Robi)
Barisal,December,1,2.312037729503141,21.966910015567052,74.04797164581764,48.79700068043502,230.3101271350263,3.10357478395673,Corn(Robi)
Mymensingh,December,1,2.2440675628708444,21.05746180259829,74.81595493435367,49.21542264950646,189.6097263728639,3.0874879560068322,Corn(Robi)
Khulna,December,1,3.8602272871523833,20.98777675754018,70.92902656024185,52.40175817670423,196.78343511990425,3.978639805697243,Corn(Robi)
Rajshahi,November,2,0.27825531458249086,23.618745924825177,72.9924289875779,54.2731508065718,149.65904803071948,3.737910028295568,Corn(Robi)
Rangpur,October,2,35.571838075740025,26.880816263690292,80.4580994510747,51.61119237390581,137.59343050542589,6.203185430435829,Corn(Robi)
Rangamati,October,2,38.742526238881545,27.61764676272871,80.7836549483386,48.90009759958557,203.63898478137756,3.689278569013079,Corn(Robi)
Dhaka,October,3,22.655149320274358,27.13169424125997,75.07907017053621,54.93912497523051,190.24471472941485,3.9156175323626434,Corn(Robi)
Cumilla,November,1,18.239031981054023,25.793675056075593,76.63510664200571,49.69835162879327,181.27335082103215,3.7490434694404553,Corn(Robi)
Chittagonj,December,1,3.8126514225006867,22.48480930378077,71.5313674288224,54.978672649333504,199.31331586499687,5.111983272916347,Corn(Robi)
Khulna,December,1,1.3478444046984428,21.44765329775438,70.42690827930595,50.79604920928206,192.1907003507705,3.889518254555757,Corn(Robi)
Rangamati,October,2,38.865408877888186,27.922917138182672,80.86814543328543,49.24335201096861,206.54015844284936,3.5017592989212005,Corn(Robi)
Cumilla,November,1,16.78006439977075,26.251973492072235,76.57569656456843,50.646866874392714,183.3484775526937,3.698466943127547,Corn(Robi)
Chittagonj,December,1,0.01942162643011658,23.293991989168294,72.20890993291967,55.74148578590114,205.06759212923563,5.08357307856437,Corn(Robi)
Mymensingh,December,1,0.09774070324844919,21.086358043251852,74.31483865381075,48.3712248456941,188.9001550836397,3.015152931973603,Corn(Robi)
Rangpur,October,2,38.037370172897695,27.326877118375045,79.616971018076,51.51919324775253,130.9782994729076,6.214147649644832,Corn(Robi)
Sylhet,December,1,1.3454990421947475,21.100838106497864,73.03814461702436,55.2472133593578,174.44971865791837,4.2078414322036215,Corn(Robi)
Bogra,October,2,25.156010892889487,27.715177123424287,78.81525449567107,54.025483164864134,198.52874080606122,4.928747846410477,Corn(Robi)
Dhaka,October,3,27.046415654708152,27.19458734306227,75.17798846561001,53.344248669600475,190.0490302110035,3.6883473240993934,Corn(Robi)
Jashore,September,1,50.58955281099884,29.60857659349811,83.98539478169991,31.557722049053016,181.21008637000784,4.219560876709446,Corn(Robi)
Chittagonj,December,1,0.8727587805847554,23.155794232138142,71.73153287154945,54.206256330147795,201.36544948735587,4.948597604150793,Corn(Robi)
Rangamati,October,2,40.658515986404176,28.174250184306796,80.03338761017129,49.119058240219104,204.74656276561143,3.6336043574633243,Corn(Robi)
Jashore,September,1,55.34545242349826,29.575827348002985,84.40104678181837,31.5892025939587,177.77809203189284,4.235762637059942,Corn(Robi)
Mymensingh,December,1,2.1622309173184466,21.180673579543836,73.7130326074659,48.74758432041289,190.0724299616771,3.060516803824045,Corn(Robi)
Faridpur,December,1,-1.6341647185601071,21.64455790927709,72.72822569001909,47.37304846264019,203.72682591296635,2.861839970996219,Corn(Robi)
Dhaka,October,3,25.658208384668406,26.598599183388895,75.2583839006382,54.27658182319037,193.98923763251815,3.8477753820665663,Corn(Robi)
Khulna,December,1,2.3667864826979645,21.393616591600125,70.63246505143375,52.48753139686086,191.10347670422917,3.9872380479179412,Corn(Robi)
Rangamati,October,2,38.37748289973546,28.26561168676938,80.47651996959551,49.28477497664628,201.67222041438865,3.628483816383239,Corn(Robi)
Jashore,September,1,53.52438367578327,29.306200936271534,83.5584964744595,31.581664780604484,183.4113975971988,4.1162280004840115,Corn(Robi)
Barisal,December,1,2.0187039007117358,21.938595087897042,74.54696055042047,50.44117539834366,226.01038479221043,3.0118601327132373,Corn(Robi)
Rajshahi,November,2,-0.2774357016952773,23.93935727087195,72.70463841626068,53.28931259626194,150.58831131139982,3.8148499826585165,Corn(Robi)
Faridpur,December,1,-2.1216350457138224,21.529566419208738,72.81977881868309,46.457900051359424,200.06322226097484,2.8781244874956817,Corn(Robi)
Dhaka,October,3,24.514390699939067,26.660224562580797,74.67145133399065,53.46271694164095,187.59494481146848,3.7500585292373874,Corn(Robi)
Dhaka,October,3,24.293053302139114,26.963440072016226,75.69521805546222,53.08691311092005,186.09876983296272,3.7364536254319525,Corn(Robi)
Dhaka,October,3,26.00050061620314,27.129562435157858,74.90346827955143,53.68465528520739,189.97678448132206,3.8184309675204156,Corn(Robi)
Bogra,October,2,26.878280787219225,27.94546446065413,79.77241870713479,53.89737523940954,197.77548959223307,5.018860801065217,Corn(Robi)
Dhaka,October,3,26.8835579179093,27.204152934377248,75.25124175997325,54.41724063596649,190.65501958677748,3.929409378629044,Corn(Robi)
Rajshahi,November,2,-0.6795500908969787,23.544343525767857,72.33860120844294,54.15825457446226,153.1112431852529,3.7681604140774168,Corn(Robi)
Jashore,September,1,53.164002782101235,29.284171444249765,84.4988223330489,30.811977351022257,175.47884415421947,4.019909784478863,Corn(Robi)
Sylhet,December,1,-2.2547552176573418,21.13688166411104,72.50474892492514,55.27460832272179,174.6413796520236,4.092233928658861,Corn(Robi)
Mymensingh,December,1,1.9501171501954262,21.031296586798728,74.02170630362643,49.86571266050395,189.3341009677912,2.90915642717634,Corn(Robi)
Rajshahi,November,2,1.206761429356147,23.58441383975313,72.27658446131578,53.44272912531955,149.47886181922286,3.708537630716605,Corn(Robi)
Chittagonj,December,1,0.670627051901042,22.6167277794325,71.72967556155895,54.45791743384566,204.09782226775806,5.019301484963355,Corn(Robi)
Khulna,January,4,5.555892698467186,20.30508105700433,70.02631942445498,52.396961141335744,190.84676651508354,4.940192723610323,Guava
Khulna,January,4,5.4686231383609245,20.327016663235874,69.89184133984946,52.12190441902995,187.94257144160898,4.912321133829607,Guava
Dinajpur,January,4,0.8290711804960019,18.019038340080492,71.18555305248822,43.79756378007694,241.7700758506578,3.740863296100236,Guava
Mymensingh,January,4,1.9038092380862621,19.49750555845214,70.24836437666823,44.24317562776563,225.6153734620168,3.676716115753525,Guava
Mymensingh,January,4,1.855687001083388,19.5401001980243,70.46291152960914,44.08818598037651,230.9869275541157,3.8336047327068927,Guava
Barisal,January,4,2.729200407066198,20.521198245424316,71.53963657364783,50.45577817759225,221.7895045863351,4.946465877526343,Guava
Dhaka,January,4,3.6376518296136617,19.953867614295397,67.31146315591707,49.715161870011634,241.61031294029618,4.364521328384297,Guava
Dhaka,January,4,3.3441351602405547,20.0016936630176,67.0501424475894,49.300024076476205,242.22040106794992,4.403270929420818,Guava
Barisal,January,4,2.482090236485746,20.60807276550694,71.70277093784819,50.238161642363565,214.9557110753048,4.852947582181361,Guava
Faridpur,January,4,3.5853661186731607,19.767162387313395,70.82920757384264,48.50054583421321,205.12682051363555,3.412562533265552,Guava
Jashore,January,4,6.268902696676978,19.301404868206482,69.55532438051829,47.67282274173337,184.20758483802223,3.310507691934747,Guava
Khulna,January,4,5.546395019423669,20.313496914094955,70.05971659091387,52.61658812935935,185.02986561581346,4.818413853792381,Guava
Dinajpur,January,4,0.9151517133538181,18.097812348393447,71.56213685651595,44.0605228939181,240.845210584412,3.7221082342110132,Guava
Faridpur,January,4,3.267882350221441,19.790531680743328,70.70988843337935,48.76235694882341,204.14211015962627,3.382552119799805,Guava
Dinajpur,January,4,1.0652984665314988,18.097908074622193,71.16827003019706,44.16491439721222,241.86755473055294,3.7221860031485283,Guava
Dhaka,January,4,3.6098546054362353,19.97372878239025,67.2812721816308,49.63589967938186,242.67040816219705,4.280740593859306,Guava
Jashore,January,4,6.634565743581901,19.269561543027805,69.37243853546114,47.569204454524666,188.60832149031486,3.1919434779946636,Guava
Mymensingh,January,4,1.9292552836956705,19.586879474934776,70.32698188042822,43.93867115959125,229.21672008545147,3.769316987799849,Guava
Faridpur,January,4,3.503432265087578,19.860470510803193,71.02055627613619,48.68935260468821,203.67141011010963,3.3906929232762324,Guava
Rajshahi,January,4,4.1038805550408215,18.85631627964701,69.84094928844753,51.2174502087367,198.11720793080312,3.929930038155457,Guava
Dinajpur,January,4,1.148099556812049,17.935098361662167,71.31212066504476,43.84020094969924,241.65858913977254,3.6172281427102737,Guava
Khulna,January,4,5.492356722699223,20.381993998876435,70.04738008569758,52.94495943029844,190.32218471367054,4.895588925188759,Guava
Faridpur,January,4,3.724406337354568,19.876293311912594,70.6702933317607,49.2190583716994,202.53705110394696,3.4040589880622045,Guava
Khulna,January,4,5.482714834696528,20.059894995048328,70.2293438846386,52.39216609765386,189.54320199161648,4.915001619798713,Guava
Dinajpur,January,4,1.1013870506069685,18.181074358700304,71.2637410494096,43.2267058801261,240.75701564473647,3.6323110329711725,Guava
Mymensingh,January,4,2.194111323927892,19.4222772309259,70.12921490193342,44.78635007740195,227.48179567658428,3.7518990737482834,Guava
Barisal,January,4,2.796249353551777,20.449615519972227,71.74638580989834,50.25226592556186,215.32767576583637,5.007309668396783,Guava
Mymensingh,January,4,1.7394784935922494,19.49444822261366,70.20769402561375,43.47537170723076,224.99460956798364,3.6463218578605043,Guava
Dhaka,January,4,3.31513249079551,19.931976181149267,67.43560280995878,49.47072824395249,237.54490319529646,4.255904128780729,Guava
Rajshahi,January,4,4.011792087800462,18.88756003683742,69.98308047112172,50.55930423281981,196.69040492243724,3.9231827353202924,Guava
Dhaka,January,4,3.3531813689864003,19.900771683835142,67.08046422868352,49.91167712715478,242.87587549387106,4.311534612371922,Guava
Faridpur,January,4,3.5523377813165027,19.825468344358576,70.85637670573186,48.812408820174575,206.3844309625563,3.354541481351785,Guava
Dinajpur,January,4,1.2206696899898017,18.105991465208263,71.29678420072848,44.568853635161794,241.3900877298842,3.68119352113156,Guava
Faridpur,January,4,3.524194268318141,19.695743640451045,70.91546615647927,48.482083778325496,206.397808731205,3.3986671255996166,Guava
Dinajpur,January,4,0.9916214672710075,18.09447487777347,71.37341612945156,44.45188105787956,240.32880970763586,3.682867823962026,Guava
Jashore,January,4,6.412360865000973,19.37139236227435,69.66691171506483,47.29026430630782,188.7539279934301,3.1488628956307365,Guava
Dinajpur,January,4,0.75073738095002,18.229392036225338,71.29472395393873,44.05188591542848,238.55607201323713,3.695034498628243,Guava
Faridpur,January,4,3.405603236490344,19.92156234678034,70.6956388255045,49.229919113644165,206.3609470910886,3.454487561926144,Guava
Rajshahi,January,4,4.080221774624898,18.72463153456101,70.03927046998793,51.36539495174365,193.74332516196478,3.815211368108546,Guava
Rajshahi,January,4,4.022184956335408,18.763352263022483,69.97020739486186,51.10486032268578,198.27088811122962,3.9776443030197304,Guava
Khulna,January,4,5.787795073790166,20.431784267410507,70.00394526419777,52.46701103943595,192.21289504085095,4.842939852588006,Guava
Jashore,January,4,6.292983942423972,19.46924681485831,69.50034073007211,47.472622523450944,187.9763807424241,3.24421082316423,Guava
Mymensingh,January,4,2.222312818326003,19.485562360186464,70.21543311047321,44.523751766975984,226.46987709582106,3.6821344913002996,Guava
Khulna,January,4,5.148838763606148,20.518236406241382,69.97559270199504,52.49501539564943,187.92986926647208,4.943135146413469,Guava
Faridpur,January,4,3.3396659345739215,19.73552729679064,70.73376402535237,49.17253672947733,209.3632702470109,3.4183714564401457,Guava
Mymensingh,January,4,1.9465189982318496,19.53207414569555,70.24672915428975,43.56404630588151,229.15844074788046,3.6371141473196054,Guava
Barisal,January,4,2.595556118028944,20.517430387183815,71.7994079607891,50.119192385514715,218.66097709235035,4.949363442940951,Guava
Jashore,January,4,6.865280238015323,19.32939036749106,69.51021680616822,47.21317314560052,187.17343876264493,3.188633876651688,Guava
Dinajpur,January,4,1.1280809248367607,18.134218474897885,71.03223808921618,43.68140162479726,240.13463076625754,3.8045235158560806,Guava
Khulna,January,4,5.77536810119871,20.494811504916274,69.8062499076922,52.104335841914725,192.20286588022017,4.839293696213796,Guava
Jashore,January,4,6.505698977669985,19.390124081217817,69.51949340754643,47.537181934157395,188.09164380671655,3.345605084638586,Guava
Barisal,January,4,2.4123877114149073,20.552099104477442,71.46061157815122,49.88360524988539,216.41290831962363,5.041232089095458,Guava
Khulna,January,4,5.3836967743280395,20.41711254644008,70.07119760446062,52.67585574951609,187.4669678593421,4.834719621750412,Guava
Jashore,January,4,6.280993685070838,19.22924487731005,69.43668218290894,47.568432949409306,186.62996316049794,3.065557823809048,Guava
Khulna,January,4,5.6414864157366145,20.350490104966507,69.95482013634526,52.66420211188062,189.44410693330477,4.8643848532225125,Guava
Mymensingh,January,4,1.876360958466609,19.526611003268282,70.49036133876125,43.58206894405612,227.4465483142254,3.7647957450584326,Guava
Barisal,January,4,3.3287111645665544,20.508854896529154,71.64601234934388,50.06907531726261,217.2597183522432,4.93009296428196,Guava
Dhaka,January,4,3.459046350885912,20.033528005099637,67.23030928262202,49.47872269549157,241.75147322047255,4.395508389834405,Guava
Dhaka,January,4,3.4118590810658307,19.938560907816676,67.16398947607425,49.37062552859771,243.6772049618401,4.3669323719391,Guava
Faridpur,January,4,3.4176975998213885,19.831482067574598,71.06099368621422,49.180828518073355,206.39787853185808,3.384401103483531,Guava
Barisal,January,4,2.933820197276507,20.551152029796242,71.71286829356083,50.3873233042215,221.3964753607829,4.967605734785279,Guava
Mymensingh,January,4,2.0055129542626493,19.525811093526684,70.32707844531893,44.07151263426545,229.4503750948336,3.601961875052557,Guava
Dhaka,January,4,3.7887848885381277,19.69166929212675,67.33456016868294,48.88388491304974,241.79849872146482,4.096918698559518,Guava
Barisal,January,4,2.7624984628099227,20.45485062972947,71.75289340824648,50.13217619342542,216.11007053668115,4.937028003145691,Guava
Rajshahi,January,4,3.947377102378448,18.779580522498414,70.05910386688365,51.0039135557944,200.08781929923614,3.8570708873415436,Guava
Jashore,January,4,6.258770561872621,19.08140759749951,69.54660976280893,47.689590120951586,184.32591395426886,3.2833021217403453,Guava
Rajshahi,January,4,4.118504475594757,18.70019959779603,70.20186041126027,50.91765959760176,201.97251477911988,3.891404986909509,Guava
Dhaka,January,4,3.4415002905584426,19.872061715448226,67.23823797033285,49.05983199098999,243.97167221839828,4.313597373920288,Guava
Barisal,January,4,2.7857006218861096,20.48693818358928,71.80196400101329,50.39627949808533,216.56236568659452,5.039239423248313,Guava
Rajshahi,January,4,3.8086566792984073,18.86306019307866,69.92423738298112,51.083344392181175,194.81612305941547,4.0076788919776,Guava
Barisal,January,4,2.8723138455621458,20.486478968199023,71.90693073180279,50.10431740076221,215.90903032444623,4.943189484951864,Guava
Jashore,January,4,6.665871783722207,19.269631010055825,69.51500584392811,47.31139749349817,188.33849435580808,3.194580251671302,Guava
Mymensingh,January,4,1.705783257973015,19.548571166566273,70.40415880399313,44.14545700030065,232.5373925461701,3.833032526521328,Guava
Faridpur,January,4,3.9366619282798285,19.755642121066273,70.679741695221,49.120043023896336,203.97459696408228,3.3405697065429134,Guava
Mymensingh,January,4,1.9234782315009784,19.538179852218192,70.18039898426576,44.3692620820487,225.46523963642215,3.670394378819458,Guava
Mymensingh,January,4,1.8251391597383786,19.615353117214692,70.35476122830056,43.9034823279757,228.1935867210443,3.594692232492658,Guava
Dhaka,January,4,3.3818273010221502,19.698585802240984,67.29500078616087,49.50954956861222,240.69151575239562,4.27215970166533,Guava
Jashore,January,4,6.587052767711346,19.389519711671728,69.41706975955948,47.29939825536913,185.6853052738298,3.2174512236542347,Guava
Barisal,January,4,2.6384461597537827,20.47773548983496,71.4359191507907,50.43698548303452,217.2083157389336,4.96577226937883,Guava
Mymensingh,January,4,1.873397440435228,19.614909075748432,70.40855087925233,44.44260370647205,230.21110452561112,3.7577094710023906,Guava
Barisal,January,4,2.76347522897393,20.7284415025409,71.8737038617033,50.41032467365807,218.42451164070556,4.951294701196663,Guava
Jashore,January,4,6.370569257210398,19.416142707143,69.60190577530042,47.07965195659061,186.0624718529591,3.2587159187549135,Guava
Barisal,March,1,5.776541111003112,24.907853811468772,70.80050286739075,53.87726135794834,212.34887600477404,5.159059275969699,Kharif cucumber
Dhaka,March,1,3.02508055136245,24.00993317352267,63.16899182502769,56.23054293368395,233.6560051837774,5.0368548963269735,Kharif cucumber
Barisal,March,1,5.263687652891917,25.259662823281253,71.3771310738994,54.06078204369021,213.11258988056886,5.110975503890852,Kharif cucumber
Barisal,March,1,5.982203795195262,24.705762194266256,70.75790324715358,53.4385494043768,214.61175952440257,5.071804686771011,Kharif cucumber
Rajshahi,April,2,12.959156824196956,29.842892321792238,61.187962982078474,57.10090744193386,187.37960005115355,5.996703491946267,Kharif cucumber
Khulna,April,1,13.096019491828171,29.24660917612975,71.22810374191981,58.86939600967769,197.2844905108585,6.939840795777305,Kharif cucumber
Khulna,April,1,12.292131288136648,29.785504476093976,71.15393187108074,59.07653129467815,200.93036274687344,7.137663696380536,Kharif cucumber
Dhaka,March,1,2.9941582323070906,23.913991778312194,63.460675435057446,56.080385737695366,233.3394476683537,4.980448670315542,Kharif cucumber
Jashore,April,1,12.052233264629796,29.242097624077854,66.52309238972988,55.35970970929569,211.0389467668881,5.129248573618293,Kharif cucumber
Barisal,March,1,6.202399241042367,24.568696953918703,70.09267033666652,53.69419542813288,211.6242654974551,5.0319454495372975,Kharif cucumber
Dhaka,March,1,3.7468887172524177,23.976565843696385,63.36271664224272,55.985999085242796,233.17433849484274,4.9231133097275865,Kharif cucumber
Jashore,April,1,11.793199216911542,29.67557801662999,66.77019267166905,55.509962566336064,209.1718813652584,5.176046053659174,Kharif cucumber
Barisal,March,1,6.1277952574997645,24.680827398187667,70.02361408851822,53.76518698382706,212.22950165156587,4.9858308219761485,Kharif cucumber
Rajshahi,April,2,14.363895925491185,29.457073599796967,61.385593125838575,57.44940583980381,185.18982818036883,6.142412985793657,Kharif cucumber
Barisal,March,1,6.121807874318972,24.91552428806067,71.8176168694103,53.755375112692306,217.32160500314714,5.125374370512036,Kharif cucumber
Khulna,April,1,11.710566650868028,29.40151770752166,71.55269105723151,58.916502935465516,200.52484509908757,7.033647739050489,Kharif cucumber
Dhaka,March,1,3.801499624234771,23.883424569299414,63.376025744024254,55.96741975183618,234.47072586163475,4.873509986523918,Kharif cucumber
Rajshahi,April,2,13.36295944486376,29.687256252276015,61.61574539474007,56.90034861348013,180.6892515510731,6.070138903840388,Kharif cucumber
Rajshahi,April,2,13.505877783068222,29.12590611691141,62.32578731363298,57.075604974139885,182.26335446490685,5.89258411733039,Kharif cucumber
Jashore,April,1,11.172864830506802,29.770067694788732,67.09967408865955,55.68625344588931,207.1377363953768,5.108973842657631,Kharif cucumber
Jashore,April,1,12.636611387347987,29.16115841859368,66.4304534469034,55.61174766266235,212.11141944985516,5.177896958724026,Kharif cucumber
Khulna,April,1,11.622113104079363,29.29117110997185,71.98324557469361,58.920971508302976,204.806178843797,6.960171822207318,Kharif cucumber
Jashore,April,1,11.809896187089006,28.928500585310516,67.53738088921179,55.08884543878616,210.0869847596277,5.180074725223922,Kharif cucumber
Khulna,April,1,11.774894348131998,29.550838899636474,72.81380349808008,59.153078819385094,201.73335401914565,7.052526611861658,Kharif cucumber
Khulna,April,1,12.57345516359225,29.124293872012746,71.80502594343656,58.670163453521404,200.74062652183054,7.0872019717265875,Kharif cucumber
Jashore,April,1,11.199218842925193,28.966605644519635,67.04661265110644,55.2348645015822,211.24955954207647,5.113190906683266,Kharif cucumber
Khulna,April,1,12.183505671527078,29.261832876051663,71.0978692503898,58.85610335201988,200.6147439182149,7.114152802637836,Kharif cucumber
Rajshahi,April,2,13.813465824600442,28.86557244126792,62.10372130552278,56.82555807338804,186.32505717935757,6.112437876951475,Kharif cucumber
Dhaka,March,1,3.085750280223742,23.649795841224314,63.041550843369414,55.89536110302664,233.5574282863075,5.0370612343741366,Kharif cucumber
Rajshahi,April,2,13.586494344308706,29.38259561544328,61.60454782528676,57.16458346977254,184.79273542332007,6.272469788939516,Kharif cucumber
Jashore,April,1,11.181568400733106,29.010811518585275,67.2506938913282,55.470239379154464,210.0715464902528,5.081314972292353,Kharif cucumber
Barisal,March,1,4.961441492580955,24.65887118471956,71.20318839877277,53.55096091874891,212.72153560574654,5.040557477928286,Kharif cucumber
Jashore,April,1,11.387694357299765,29.170744040056526,67.17207101274492,55.432621056618146,208.56092169875822,4.98066958047615,Kharif cucumber
Rajshahi,April,2,13.28418769679313,29.22395341572537,61.5842065419782,56.925514152911184,182.41352515733226,5.992251632737103,Kharif cucumber
Khulna,April,1,11.920423298623534,29.65930050486874,70.86195672992683,59.018367141953426,203.0110667547032,7.05597652037031,Kharif cucumber
Khulna,April,1,12.52022769510686,29.429296731856464,72.13679749679673,58.60341139623495,203.67642515352793,7.063981928230458,Kharif cucumber
Khulna,April,1,12.743383921595768,29.708221346482354,71.49932267594363,58.73363890488319,201.61570174314562,7.097272052260661,Kharif cucumber
Khulna,April,1,11.537983491175522,29.227177899517127,71.50089855345928,59.169882771153695,200.3548858940625,7.16903739467959,Kharif cucumber
Khulna,April,1,12.207350138214466,29.581998287932727,71.69043914708372,58.80201817239058,202.0026433346688,7.120324720690788,Kharif cucumber
Jashore,April,1,10.678436576062927,29.727108083086392,67.33460772039093,55.53765872351823,210.74124122797278,5.182132769299746,Kharif cucumber
Rajshahi,April,2,13.027253149045414,29.87103262580326,61.319544272690734,56.79345064511473,185.58228711125554,6.177171451422196,Kharif cucumber
Barisal,March,1,5.921333961312634,24.38048086928959,71.3120738006012,53.273702175030856,214.58994172747984,5.151068479773994,Kharif cucumber
Khulna,April,1,12.523598098324301,29.828943525480643,71.64697528790153,58.87443650676116,201.8420121294131,7.110776183597921,Kharif cucumber
Jashore,April,1,11.241005646605815,28.929258958622345,67.20093172584433,55.63479269095631,210.2684668182904,4.908648755590523,Kharif cucumber
Khulna,April,1,12.286244860178924,29.78887109828933,71.9933738142812,58.74067423212616,201.7604636970605,7.215942095516531,Kharif cucumber
Khulna,April,1,12.510523116176854,29.432679504604653,71.77422327738566,58.76839134365349,201.27839995828285,6.928697984331022,Kharif cucumber
Barisal,March,1,5.814996610338968,23.924229862563394,70.95058372222438,54.19147510788992,215.04866825087234,5.1332223665071774,Kharif cucumber
Jashore,April,1,12.16004178462957,29.165326448575414,65.87070222386728,55.4533761122923,209.3710315041729,4.946909113043708,Kharif cucumber
